stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,27.9,0.85,0,0,0,0,0,0.28,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0.37,0,0,1.11,0,0,0,13.69,0,0,0.74,0,0.74,0.37,0,0.37,0,0.37
3Month,0,0,0.94,0,0.1,0,0.42,0,0,0.31,0,0.1,0.1,1.77,0.52,0,0.21,0.83,0,0.42,0.42,0,0,0.1,0.1,0,0.21,0.1
22Month,0.14,0.55,1.91,0,0.27,0.41,2.73,0.14,0.14,1.09,0,0.27,0.41,1.5,0,0.27,0,0.27,0,0.68,0.14,0.27,0,0.14,0.55,0,0,0
