stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0.28,0,0,0,0,3.66,3.1,0,0,0,0.28,0,0,0,1.41,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,2.59,0.74,0,0,0,0,0.37,0,1.48,0,0,0,0,0.37,0.37
3Month,0.62,1.87,1.77,18.83,0.62,0,0.73,0.21,0.1,3.22,4.47,34.01,5.51,0.31,14.04,3.33,5.72,4.99,5.1,0.52,0,1.77,2.5,7.7,0,1.46,1.46,0,0,3.33,0.21,112.03,0.42,0,0.52,2.5,592.17,5.41
22Month,0,0.14,0,1.78,0,0,0,0,0,0,0.14,5.33,0,0.14,1.78,0,0.14,0.14,0.41,0,0.14,0,0.27,1.09,0,0.14,0.41,0.27,0,0,0,15.71,0.14,0.14,0,0,1.91,0
