stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,10,8,0,27,0,0,0,0,4,0,0,0,0,3,14,14,61,0,0,2,11,399,2,0,8,0,0,0,0,2,0,0
72hpf,5.64,4.23,0,8.74,0.56,4.51,1.41,0,0,0,0,3.38,0.28,5.92,25.93,2.25,17.47,4.23,0.85,0.28,44.81,71.03,0.28,1.41,12.4,1.97,0.28,5.64,0.28,0.56,0,0
21Day,6.66,0.37,0.37,26.27,0,72.52,23.31,1.85,0,4.81,1.85,12.21,4.81,1.11,9.62,4.44,5.18,0,1.11,0,14.8,22.94,0.37,0.37,5.18,5.55,0,3.7,2.59,0,0,3.7
3Month,0,0,0,0.21,0,0,0,0.1,0,4.58,0.52,0,0.42,0.1,0,0.31,0.1,0,0,0.1,0.1,0,0,0,0,0.1,1.04,0,0,0,0.1,1.04
22Month,0.14,0.14,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0
