stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0.85,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0,0.85,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0.37,0,0,1.11,0,0.37,0,0,0,0.37,0.37,0.37,0,1.48,0,0.74,0.74,0
3Month,0,0.1,0.62,0,0,0.1,0.1,1.46,0.1,0,0.21,0.1,0,0.21,0.21,0.21,0,0,0,0,0.1,0.1,0,0.1,0,0,0.31
22Month,0,0.14,0.82,0,0,0,0.41,5.88,0,0,0.14,0,0.14,0,0.14,0.14,0.27,0.14,0.14,0,0.27,0,0,0,0,0,0.41
