stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,3.1,0,1.13,0,0,0,0,6.48,2.25,0,0,0.56,0,0,0.56,0.28,0,0,0,0,0
21Day,1.11,0,0,13.32,0,0,0.74,0,0,0,0,0,1.48,0.37,0.37,0.37,5.18,0,2.59,0,0,0,0,1.11,0.74,0,0,0,0.74,0,0,0,0,0.37,0,0.37,0
3Month,0.1,0.73,0.21,33.08,0,0.42,0.21,1.14,9.05,0,0,10.51,234.77,0.31,2.39,1.04,74.06,4.37,2.91,0.83,0,0.83,0.73,1.04,0.21,0.52,0.31,0.1,0.94,0.83,9.99,0.1,0.1,0,2.5,13.31,1.56
22Month,0.14,0.27,0,4.65,0,0.14,0,0.41,4.37,0.41,0,6.15,69.14,0,1.23,0.14,5.06,0.68,1.5,0.14,0.27,0,0,0,0,0.14,0,0,0,0,2.05,0.14,0,0,0,0,0.68
