stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.69,0.85,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.74,0.37,0,1.11,0.37,0,0.37,0,0
3Month,0.1,0.73,0,0,0.31,0.21,0.83,0.1,0.1,0.31,0,0.1,0.21,0,0.21,0,0,0.1,0.73,2.39,0.31
22Month,0.14,0.14,0,0.14,0,0.14,0.41,0,0,0.27,0.14,0,0,0.14,0,0.14,0,0,0,0,0
