stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0.56,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0
21Day,11.84,0,0.74,1.11,0,0,0.37,0.37,5.18,0,1.11,3.33,0.74,0,1.11,0.37,0.37
3Month,0,0.1,0,0,0.1,0.83,0,0,1.56,1.14,0,0,0,0.1,0,0,0
22Month,0,0,0.14,0,0,3.69,0,0.27,1.5,0.14,0,0,0,0.14,0,0,0.14
