stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,3,0,0,0,0,0,0,0,0,0,2,3,5,0,0,3,407,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0.56,0,0,0,0,0.28,0,0,0.56,0,1.97,0,0,5.64,14.09,0.28,1.13,0,0,13.81,0,0,0,0
21Day,0,0,4.07,0,0.74,0,0,0,0,0,0,0,1.11,0,4.07,0,0,1.48,3.7,0,2.22,0,0,2.22,0.37,0,0,0
3Month,0,0.1,6.35,0,0,0.21,0.21,0.94,0.1,0.1,0.1,0.42,0.94,0.1,1.56,0.83,0.1,0,0,0,0,0.1,0.52,0,0,0.42,0.1,0
22Month,0.14,0,0.96,0,0,0,0.14,0.68,0,0.14,0,0,0.41,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.14
