stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,2.54,0.85,0,0.56,0,0.28,0.56,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0.74,1.11,0,0,0.37,0.74,0.37,0.37,0,0,0
3Month,0.21,0.1,0.73,0,0,0,0.21,0.73,0,1.77,0.62,0,0.52,0.21,0.73,0.73,0.52,0.1,0.73,0,0,0.1,0.1,0.52,87.79,0.31,0,0.31,29.54,0.62
22Month,0,0.14,0.55,0,0,0.14,0.14,0.27,0.14,6.01,0.14,0,0.27,0.14,0.14,0.27,0.41,0.14,0,0,0,0.27,0,0,4.65,0.14,0,0,0,0.14
