stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,14.37,0.56,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0.37,11.1,0,0,0.37,0.37,0.37,0.74,0.37,0.37
3Month,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.21,0,0,0
22Month,0,0.14,0,0,0.27,0,0.14,0,0,0.14,0,0,0.27,0,0,0.14
