stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,2,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,5,30,0,0,0,7,206,0,0,2,0,0,0,0,0,2,0,0
72hpf,0.28,0,0,1.69,1.13,0.56,0,0,0,0.28,0,0.28,0,1.41,0,0.85,1.41,0.28,12.4,0,0.28,0.28,6.2,11.56,0,0,21.14,0,0,6.2,0.28,0,34.1,0,0
21Day,1.48,0,1.48,9.25,0.37,8.14,0,0.37,0,1.11,0,2.22,0.37,5.92,1.48,0,5.55,2.96,26.64,0,0,0.74,10.36,8.51,0,0,29.6,6.29,0,2.22,1.11,2.59,88.43,0,2.22
3Month,0,0.1,0,0.83,0.1,0,0,0,0.1,3.85,0,3.12,0.31,1.46,0.31,0.1,0.52,3.95,5.1,5.62,0,0.1,0.1,0.21,0.1,0.1,0.21,0.21,4.26,0.21,0,0,1.04,0.62,0.31
22Month,0,0.14,0,0.68,0.14,0,0.14,0.14,0,1.91,0,3.69,0,1.23,0.96,0.14,0.14,0.82,7.24,1.5,0.68,0,0,0.41,0.14,0,0,0,1.91,0.27,0,0,1.64,0,0
