stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0.28,1.41,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0,0
21Day,0,0,8.14,0,2.22,0,0,0.37,0,0,0,0,0,0.37,0.37,0.37,0,0,0
3Month,0.1,0.1,0,0.21,0,0,0,4.37,0.21,0,0,0,0.1,0,0,0,0.1,0.21,0.21
22Month,0,0,0,0.41,0,0.14,0.14,9.02,0,0.27,0.68,1.37,0.14,0,0,0,0.14,0,0
