stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,2.25,0.28,4.51,0,0,0,0,0,1.41,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0.37
3Month,0,0.1,13.21,0.1,0.1,0.31,1.04,0,2.29,0.52,0,0.94,0.52,5.51,4.68,11.86,0.1,0,0.1,3.43,0.21,0.1,0.21,0,0.1,0.1,11.44,0,0,0.42,0.1
22Month,0,0,1.91,0,0,0,1.09,0.27,2.46,0,0.14,0,0,0.55,10.8,1.09,0,0.14,0.14,0.14,0,0,0.14,0.14,0,0,8.34,0.14,0.14,0,0
