stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,1,1,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0.85,0,0.56,43.97,3.66,0.28,0.28,1.69,0.28,0.56,0
21Day,0.74,0,0.37,0,0.37,0,0.74,0,0.37,10.36,1.11,0.37,0,0,0.37,0.74,0
22Month,0,0,0,0,0,1.78,0,0.14,0,0.14,0,0,0,0,0,0,0.14
