stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,1.41,0,0.56,0,0,0,0,9.02,1.13,0,0,0,1.41,0,0.28,0.28,3.95,3.38,0,0,0,0
21Day,1.11,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,2.22,0,0.37,0,0,2.22,1.48,0,0,0,0.74,0.37,1.48,0,3.33,7.77,0,0,0,0
3Month,0,0,0,6.66,0.1,0.21,0.1,0.31,0.21,0,0,3.12,0.42,0.21,1.14,0.1,1.87,0.62,1.56,0.1,0,0.31,0.31,1.25,0.21,0.62,0.42,0,0.1,0.52,36.72,0.1,0.21,0.1,0.21,0.31,8.63,0.52
22Month,0.14,0.55,0.41,3.55,0.14,0,0,0,0.14,0.14,0,7.79,0.14,0.27,0.82,0.27,0.96,0.82,1.5,0,0.41,0,0.14,0.55,0,0.68,0.55,1.23,0,0,11.48,0,2.87,0,0,0,0,0.27
