stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0.28,0,34.1,1.13,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,1.11,0.37,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,24.42,1.11,0,0.37,0.37,0,0,0,0.37
3Month,0,0,0,0.62,0,0.21,0.21,0.21,0,1.77,0.21,0.1,0.94,0.21,0.31,0.21,0.83,0.1,0.1,0.1,0.21,0,0.21,0.1,0.1,1.35,0.31,1.46,0.1
22Month,0,0.41,0.14,0.27,0,0,0.14,0.55,0.27,8.75,0,0,0.27,0,0,0.27,0.55,0,0,0,0.14,0,0.27,0.14,0,0.27,0,0,0
