stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,1.11,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,2.7,20.49,0,0.31,0.1,16.02,4.37,3.64,20.7,0.62,44.94,0.83,5.72,10.4,0.73,0.21,0,6.97,0.31,0.1,0.21,0.1,0.42,0.21,0.52,0.31,0.52,4.58
22Month,0.14,1.37,6.7,0,0,0,10.93,13.12,3.55,3.69,1.37,37.03,0.14,0.82,5.33,0.41,0,0.14,2.46,0,0,0.55,0.14,0,0,0,0.14,0,3.14
