stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,2,0,0,0,0,0,0,0,0,0
72hpf,12.12,2.54,0,7.05,1.69,12.4,0,0,0.28,0,0,0,0.28,0,3.95,21.98,4.23,12.4,0,1.13,0.85,1721.25,37.77,0.56,14.94,18.88,0,0.28,8.17,10.43,0.85,2.25,0
21Day,7.4,0.37,0.37,10.73,0.37,17.76,1.11,0.37,0.74,0,0.74,0,3.33,5.18,2.22,8.88,4.07,12.58,0,0,2.96,606.41,11.47,1.85,11.47,8.14,14.43,0.74,3.33,27.38,14.43,0.74,3.33
3Month,0,0,0,0.83,0,0,0.1,0.31,0.21,0,1.35,0.52,0.21,0.62,0.1,0.31,0.31,0.94,0,0,0.1,9.78,0.21,3.22,0.42,0,0.1,0.73,0.1,0.1,0,0,0.1
22Month,0.27,0,0,0.14,0,0,0,0.27,0.82,0.27,4.78,0.27,0.14,0.41,0,0,0.27,1.09,0.14,0.68,0.14,10.52,0.14,1.78,1.64,0,0.27,2.87,0.82,12.85,0,0,0.27
