stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71,0,0,0,0,0,0,0,0
72hpf,2.82,0.28,0.28,1.41,0,0,0,0,0,0,0,0,2.25,0.28,1.69,0,0,0,87.09,51.01,1.13,2.25,0,0,9.02,0,0,0
21Day,0.74,0,0.37,0.74,0,0,0,0,0.37,0,0.37,0,0,0,1.11,0,0,0,17.02,13.32,0.37,0.37,0.74,0,1.48,1.11,0,0.37
3Month,0,0,1.56,0,0.21,0.1,0.31,0,2.7,0.31,0,0.52,0.62,0.42,0.31,0.1,0,0.1,0.1,0.21,0,0,0.1,0.73,0,0,0.1,0
22Month,0,0.14,0.41,0,0.14,0.14,0.68,0.27,11.34,0.27,0,0.96,0.27,0.82,1.09,0,0.27,0.27,0,0,0.14,0,0.14,0.27,0.27,0,0.14,0.55
