stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0.37,0,0,0,0.74,0,0,0.37,1.11,0,0,0.74,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.1,0.83,0,0,0,0.31,29.02,0,0.73,13.21,1.14,0.62,0.31,5.93,0.1,0.21,0.1,0.42,0.1,0,0.1,0.1,0,0.52,0.42,0,0.31,1.46
22Month,0.14,0.14,0,0.41,0,0.27,0.14,0.14,54.66,0.14,4.51,5.19,2.19,0.27,0.14,6.56,0.41,0.14,0,0,0,0,0,0.14,0.14,0,0,0.14,0,0.27
