stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,6.76,0,0,0,1.13,0,1.97,0,0,0,0,0,0,0
21Day,0,0,0.74,0.74,0,0,0,0,0,0,8.51,0.37,0.74,0,0,0,1.48,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0,0.31,0,0,0,0,0.94,0.1,0.31,0.1,0.1,0.42,0,0,0,0,0,0.1,0,0,0.1,0.52,0.21
22Month,0.27,0.14,0.96,0,0.27,0.41,88.28,8.34,0.14,0.55,0,0.55,0.82,0.14,0,0.27,0,0.14,0.14,0,0.14,0,0,0.14
