stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.85,0,1.13,2.82,4.23,0,2.25,0,0,1.69,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,2.96,1.48,1.11,0.37,3.33,0.37,0,0.37,0,0.37,0.37,0,0,0
3Month,0,0.31,0,0.1,0.31,0.83,0.21,0,0.1,0.21,0.1,0.21,0,0,0,0,0,0.62,0,0,0,0.1,0.1,0.1,0.1
22Month,0,0.41,0,0.27,0.55,4.24,0.14,0.14,0.27,0.14,0.14,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0
