stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21Day,0.74,0,3.7,0,0,0,0,0,0,28.86,0.74,0,0,0,0.74,0,0,0,0
3Month,0,0.1,4.58,0.1,0,0.21,0.21,0.1,0,0.21,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1
22Month,0,0,0,0,0,0.41,0,0,0.41,0.14,0,0.14,0,0,0,0,0,0,0
