stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,4,17,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,4.79,0.56,0,0.28,0,0.28,0,0,0,0.28,0,0.85,7.61,0,2.25,0,0,0,0,6.76,5.36,0.28,0,1.97,0,0,0,0.56,0,0,0,0
21Day,1.11,0.37,0,2.59,0,0,0,0,0.37,0.37,0.37,0,0.74,0.37,0.74,1.11,0.37,1.85,0,0,0.37,0,1.48,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.73,0.83,0.62,22.99,0.1,0.42,0.42,2.08,9.99,0,69.69,22.47,1.46,3.85,1.46,7.91,7.28,4.68,1.04,0,1.25,1.35,0.62,0.21,1.56,0.52,0.42,1.25,0.1,2.5,0.1,0,0.94,1.14,9.47
22Month,0.14,0.55,0.27,3.69,0.14,0,0.14,0.41,5.74,3.96,44.41,1.5,0.14,5.33,0,0.27,3.01,1.09,0.14,1.78,0.14,0,0.41,0,0.68,0,0.14,0.27,0,0.27,0.27,0.82,0,0,0.82
