stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell
21Day,0,0,0,0,0,0,0,0,0.37
3Month,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0
22Month,0,0,0.27,0.14,0.14,0,0,0,0
