stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,2,3,3,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,0.56,0,0,0,0,0,0,0,0,0,0,0.56,3.38,0,0.85,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,2.59,0.37,0,0,0,0.74,0,0,0,0,0.74,0.37,0,0.37,0.74,0.74,0,0,0,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.42,0.1,19.97,0,0.31,0.31,4.58,2.7,0,0,5.62,5.93,0.31,6.87,0.31,4.06,3.74,1.87,0.1,0,1.14,0.21,0.42,0,0.1,0.1,0,0,0.31,1.66,0.1,0.21,0.94,1.46
22Month,0,0.55,0,3.55,0,0,0.14,1.23,1.09,1.78,0,12.03,2.05,0.14,4.37,0,0.55,1.64,0.68,0,0.27,0.82,0,0,0,0.55,0,0.14,0,0.14,0.55,0,0,0,0.41
