stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.85,0,0,0,0.28,2.25,0,0,0,0
21Day,2.96,0,0,0,0,0.37,0.37,0,0.37,0,0.37,2.59,0,0.37
3Month,0.62,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0.31,0,0
22Month,0.14,1.64,0,0.27,0.14,0.14,0,0.14,0,0,0,0.14,0.14,0
