stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,1.13,0,1.13,0,0,0,3.66,2.82,0,0,1.13,0,0,0,0,0,0,0,0
21Day,1.11,0.74,0.74,4.81,0.74,0,0.37,0,0,0,1.11,0,0,0.37,0.74,2.96,0.74,5.92,0,0.37,0.37,1.48,0.74,0,0,1.85,0.74,0,0.37,0,0,0,0,1.11
3Month,0,0.52,0,2.7,0,0.1,0.1,0.52,0.62,0,6.76,0.52,0.1,1.14,0.1,2.5,0.1,2.08,0,0.21,0.31,0,0,0.1,0,0.1,0.21,1.46,0,0,0.1,0.21,0.83,0.52
22Month,0,0.68,0.55,2.73,0,0.14,0.27,1.09,2.73,1.09,20.91,0.14,0.82,3.55,0,0.68,1.23,1.37,3.42,0.14,0,0,0,0.41,0.14,0,0.14,0.41,0.41,0.14,0,0.14,0,0.55
