stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0.74,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,2.59,1.11,0,0.37,0,0,0,0,0,0
3Month,0,0.62,0.31,3.95,0,0.21,0.52,0.1,0.31,0,4.26,3.64,0.52,0.52,0.1,0.94,4.78,0.42,0.1,0.1,0,0,0.31,0,0.42,3.02,0.1,0.1,0.42,0.42
22Month,0,0.14,0,0.27,0,0.14,0.14,0.14,0.55,0.27,2.05,7.11,0.96,0.14,0,0,2.05,0.14,0.14,0,0,0,0,0,0,0.68,0,0,0,0
