stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0,0,19,15,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,2.54,14.37,2.54,0,0.56,0,0,0,2.54,0,0,0,4.23,0,0.56,2.82,3.1,12.4,0,1.13,162.63,12.68,0,0,7.05,0.28,0,1.13,0,0,1.69,0,0,0
21Day,0.74,6.29,5.18,0.74,4.81,0,2.59,0,5.55,0,1.48,1.48,67.34,0.74,0,3.33,5.55,28.86,0,4.07,71.41,5.92,0.74,0,7.03,2.96,0,2.22,0,2.22,0.74,0,0,50.32
3Month,0,0.94,1.66,0,0,0,0.31,0.1,8.74,0,1.56,5.3,1.56,0.42,0,0.31,2.5,1.66,0.42,0.42,0.1,0.1,0.21,0,0,0,0.83,0,0,0,0.1,0.83,0.62,12.69
22Month,0.14,3.01,0.96,0,0,0.96,0.55,0,25.01,0.55,6.15,3.69,6.15,0.68,0,0,9.84,2.46,0.14,0.55,0.27,0,0.27,0.14,0,0.14,0.55,0.14,0.14,0,0,0.27,0,14.62
