stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,16,0,2,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.69,0.56,0,0,0,0,0,0,0.28,1.69,0,6.48,0,0,0,11.56,8.74,0,4.23,0.85,0,0.85,0,0.56,0,0,0
21Day,0.37,0,0,1.48,0,0,0.37,0,0,0.37,0,0,2.22,0,4.44,0,0,0,2.59,1.48,0,2.22,0.74,0,0.37,0.37,0.37,0,0,0
3Month,0,0,0.1,2.81,0,0.21,0.21,0.21,0.21,0,0.21,0.1,0.83,0.31,0.94,0.62,0.21,0.1,0.1,0.1,0.1,0,0.1,1.77,0.1,0,0,0.1,2.18,0
22Month,0,0.27,0,1.78,0,0,0.55,1.09,0.14,0,0.14,0,0.14,0.27,1.37,0.27,0.41,0,0,0.14,0.14,0,0.27,0.14,0.14,0,0,0,0,0.14
