stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,2.96,0.74,0,0,0,0,0,1.48,0,0.37,0.37,1.48,1.11,0,0,0,0,0,1.11,0,0,0,0.74,0,0,0,0.37,0,0.37
3Month,0,0,1.66,0,0.42,0.52,0,1.77,0.62,0.21,1.46,0.1,0.52,1.25,0.21,0.1,0.1,0.31,0,0,0,0,0,0,0.1,0,0,0,0,0.21,1.46
22Month,0.14,0.96,3.83,0.14,0,5.19,0.14,12.71,0.55,0.41,4.37,0.14,1.23,5.19,1.5,0,0.27,0,0.14,0,0,0.27,0.27,0,0.27,4.92,0.14,0.14,0,0.14,0.68
