stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.97,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,2.6,91.22,0.21,0.42,0.1,3.43,1.25,0,6.45,1.35,14.35,4.26,1.46,5.2,1.98,0.21,0,22.05,9.67,0.21,0,1.25,0.42,0.1,1.04,1.25,0.1,0.52,0.31,1.46
22Month,0.27,4.92,35.26,0,0.41,0,6.83,1.37,0.27,10.11,0.41,32.25,0.27,0.27,1.64,0.41,0,0.27,12.71,0.96,0.14,0,1.64,0.14,0.14,0.27,1.09,0,0,0,0.14
