stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,4,48,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,1.41,0,0,0.28,47.63,4.23,0,1.69,2.82,0,0.28,4.51,0.28,0.28,0.56,0,0
21Day,0.74,0,1.11,3.7,1.11,2.59,0.37,0,0,0,0,0,0.74,0.37,0.37,1.48,3.7,0.74,8.88,0,0.74,0,37.37,9.99,0,1.85,9.99,1.11,1.11,4.07,0,0.74,0,0,0
3Month,0,0.1,0,1.66,0.1,0,0,0.31,0.42,0,0,2.08,0.42,0,0.31,0.62,0.31,0.83,1.35,0,0.21,0.1,0.42,0,0.1,0.42,0,0.1,8.22,0.52,0,0,0,0.73,0.42
22Month,0,0.27,0.14,0.41,0,0,0,0.14,0.55,0.68,0,8.88,0.41,0.14,0.82,0.96,0,1.09,0.96,0.55,0.14,0,0.41,0,0.55,0.68,0,0,4.51,0.41,0,0,0,0,0.55
