stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell
72hpf,0,0,0,0,0,0,0,0.28
21Day,0,0.37,0.37,0,0,0,1.11,0.37
3Month,0.1,0,0,0.21,0,0,0,0
22Month,0.68,0,0,0,0.55,0.14,0.14,0
