stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell
21Day,0,0,0,0,0,0,0.37,0
3Month,0.1,0,0,0,0.1,0.1,0,0
22Month,0.55,0.27,0.82,0.14,0,0,0,0.14
