stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,1.13,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,1.41,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0.37,0,1.11,0,0,0,0,0,0.37,0,0,0,0,0,0,1.11,0,1.85,0,0,0.37,0,1.11,0.37,0,1.11,0.37,0,0,0,0,0
3Month,0,0.62,0.1,4.16,0,0,0.1,0.1,0.73,5.51,0.1,11.86,1.77,0.1,1.87,0.62,2.39,4.89,1.14,0.1,0.1,0.42,0.62,0,0,0.1,0,0.42,1.04,0,0.73,3.02,0.31
22Month,0.14,0.14,0,0.68,0.14,0,0.14,0,0,8.47,0.68,8.75,2.19,0.41,0.41,0.14,0.27,3.55,1.09,0,0.27,0.14,0.14,0.41,0,0.14,0.27,0,0.27,0,0,0,0
