stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,5.07,0.56,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1.11,0.37,0,0.37,0.37,1.11,0,0,0
3Month,0,0,4.06,0,0.1,0.42,0.1,15.08,0.31,1.46,0.73,1.46,0.52,0.62,0.62,0,0.21,0.1,0,0,0,0.52,10.51,0,0.21,9.36,0.31
22Month,0,0.14,0.14,0,0,0,0,7.11,0.41,0.27,0,0.14,0,0.96,0,0.14,0,0.14,0,0,0,0,4.1,0,0,0.14,0
