stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,282,1,0,8,0,4,0,1,0,0,0,1,0,0,1,0,0,1,29,0,0,0,0,2,31,0,0,1,0,0,0,0,1,0,0,0
72hpf,63.98,0,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,1.13,0,1.97,0,0.28,0,0,12.97,2.82,0.28,0,0.85,0,0,0.85,0.28,0,0,0,0
21Day,37.37,0,0,3.33,0,0.74,0,0,0,0,0,0,0.37,0,0.74,0,0.74,1.48,2.59,0,0,0.74,0,0.74,0.74,0.37,0,1.11,0.37,0,0,0,0.37,0,0,0.74
3Month,3.85,0.1,0.21,2.81,0,0,0.1,0,0,0.21,0.31,0,1.87,0.52,0.52,0.1,0.1,0.62,0.94,0.31,0,0,0.1,0.42,0.21,0.1,0,0,0,0.62,0,0,0.1,0.1,0.73,0.31
22Month,3.14,0.41,0,3.28,0,0,0,0,0.55,1.09,2.19,0,17.08,0.14,0.55,0.55,0,1.09,1.37,0.14,0.55,0.55,0.41,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0.27
