stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,4,0,7,0,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,5,92,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,2.82,0,3.1,0.28,0,0,0,0,0,0,0,0,0,1.69,0.28,9.86,0,0.28,0,0,12.68,10.15,0,0,6.76,0,0,1.97,0,0.28,0,0,0
21Day,1.11,2.22,0,12.95,0.37,0,0,0,0,0,0,0,0.37,0.37,1.85,0.37,13.69,0,0,1.85,0,6.29,4.81,0,0,5.55,1.85,0,1.48,0.74,0,0,0,0
3Month,0.1,5.82,0.31,10.71,0,0,0.21,0.31,1.04,0.1,12.59,0.73,1.25,1.25,4.58,0.94,3.43,0.94,0.1,0.1,0.31,0.21,0.31,0,0,0.1,0.31,2.5,0,0,0.1,0.94,0.1,0.42
22Month,0,4.65,0.14,2.05,0.14,0.14,0,0.27,0.68,0.96,21.32,0.41,1.09,0.27,1.23,0.55,3.42,0,0.14,0.14,0,0.14,0,0.14,0.14,0.14,0.27,0.68,0,0,0.14,0.14,0,0.68
