stage,Epithelial_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,0,1,0,0
21Day,0.37,0,0,0,0
3Month,0,0.1,0,1.25,1.66
22Month,0,0,0,0.41,0
