stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0
72hpf,0,0,1.13,0.28,0,0,0,0,0,0.28,0,0,0.28,0,1.41,0,0,0.28,0,0,0,0,0,1.97,0,0,0.28,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0,0,0,0.74,0.37,1.11,3.7,0,0,0.74,0.37,0.37,0.74,0,0.37,1.85,0,0,0.37,0,0,0
3Month,0.42,0,6.35,0,0.94,0.21,0,1.77,0.42,0,0.62,2.08,1.87,2.5,0.73,0.1,0,0.73,0.73,0.1,0,0.21,0.1,0,0.1,1.04,0.42,1.87,0.21,0.21
22Month,0.14,0.27,3.55,0,0.82,0.82,0.68,5.6,0.14,0.14,0.55,0,0.14,0.96,0.41,0,0.14,0,0.14,0,0,0,0.14,0.27,0,0.41,0,0.14,0,0
