stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,34,76,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,29,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.97,25.37,0,4.51,0.56,1.69,0,0,0,0,0,0,0,0,0,0,5.07,0.28,47.35,0,0,13.81,7.33,3.95,0,0,44.81,0,0,0,0,0,0,0,0
21Day,1.11,16.65,0,9.25,0,1.48,0,0.37,0,0,0,0,0.37,0,0,0,6.29,0.74,32.93,0,0,7.4,1.85,2.22,0,0,3.33,1.85,0,0,0,0.74,0,0,1.48
3Month,0,17.16,0,6.03,0,0,0.1,0,0.21,0.1,0.31,0,1.35,0.42,0.62,1.25,1.98,0.42,5.41,1.14,0,3.95,0,0.1,0.1,0,0.42,0.21,0.73,0.1,0.1,0,0.73,0.42,1.25
22Month,0.14,38.67,0.14,3.55,0,0,0,0,0,0,0.41,0.41,5.74,0.27,0.41,0.27,1.5,0.55,3.69,0.14,0.14,1.37,0,0.14,0.14,0.14,0,0,0.27,2.46,0.41,0,0,0,0.68
