stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0.28,0,1.69,0.56,0,0,0,0.85,0,0,0,0
21Day,0.37,0.37,0,39.22,0.74,0,0,0,0.37,0,0.74,0,0.37,0.74,0.37,0.37,12.21,1.11,0,2.22,0,0.37,1.11,0.37,0,0.37
3Month,0,0,0,1.25,0,0.21,0,0,2.08,0.21,0,0.42,0.31,0,0,0,0,0,0,0,0.42,0,0,0,0.1,0.1
22Month,0,0.14,0.41,1.09,0,0.27,0.82,0.27,7.38,0,0.27,0.68,0,0.41,0.41,0,0.14,0,0.14,0,0.14,0,0,0,0,0.14
