stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0
21Day,1.11,0,0,0.37,0.37,0,0,0,0,0,0,4.81,0,0,0.37,0,1.11,0,0,0,0,0.74,0.37,0,0,0,0.37,0,0.37,0,0,9.99
3Month,0,0.21,0,1.25,0,0.1,0.52,0.83,0,2.18,0.62,0,0.62,0.1,0.83,1.04,1.66,0.31,0,0,0.1,0.1,0,0.21,0.1,0,0.21,0.94,0.21,0.21,0.42,45.66
22Month,0,0.41,0.14,0.55,0,0.14,0.27,0.82,0.27,5.47,0.82,0.14,0.41,0,0.14,1.64,1.5,0,0.27,0.14,0,0.14,0,0,0.27,0.27,0,1.5,0.14,0.14,0,38.81
