stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,9,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0,0.85,0,0,0,0,0,0,0,0,0,0,1.41,3.1,0,1.69,0,0,0,0,11.84,7.33,0,0,1.41,0,0,0.28,0.28,0,0,0
21Day,1.48,0,1.11,10.36,0.37,0.74,0,0.37,0,0,0,0,0.37,0,0,0.74,1.11,1.85,1.48,1.48,0,0,0.74,0,2.22,1.85,0.37,0,0.74,0.74,0,0,0.74,0,0,0
3Month,0,0.1,0.52,17.16,0.31,0,0,0,2.29,0.21,0,0,20.08,0.52,0,6.55,0.52,4.47,1.04,0.21,0.1,0.21,1.35,0.31,0.73,0,0.94,0.1,0,0.73,4.89,0,0,0,1.66,0.42
22Month,0,0.27,1.5,3.14,0,0,0.14,0,0.55,0.96,4.1,0,31.02,0.14,0.41,10.39,0,1.23,0.96,0.55,0,1.78,0.27,0,0.27,0,0.41,0,0,0,0.27,0,0,0.14,0,0.14
