stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,4.51,0,0,0,0,0,0,2.82,1.41,0.28,0,0,0.85,0.28,0,0.85,0,0.28,0,0,0
21Day,0.37,0,0,0.74,0,1.48,0,0,0,0,0,0,0,0,0.74,0,0,1.11,0,1.11,0,0,0,0,1.48,0.74,0,0,0,0,0.74,0,7.4,0,0,0,0,0
3Month,0.1,0.21,0.42,5.1,0,0,0.21,0.1,1.66,1.98,0,0,11.55,13.21,0.1,4.16,0.31,1.56,1.87,1.87,0.42,0,1.04,0.83,0.21,0.1,0.62,0.52,0,0.31,2.08,0.21,255.47,0.21,0,0.94,48.99,1.56
22Month,0.14,0.82,0.27,1.37,0.14,0,0.27,0,0.55,1.64,0.14,0,15.71,4.92,0,3.01,0.14,0,0.96,0.82,0,0.14,0.27,0,0.27,0,0.41,0.27,0.82,0,0,0,44.27,0,0,0.14,0.27,0.27
