stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,2,0,29,3,0,0,0,0,1,3,0,0,0,0,3,11,6,128,0,0,0,0,64,1237,1,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,24.8,4.79,0,18.32,8.17,19.45,0.28,0.28,0.85,0,0,0,0,1.41,0.56,7.33,54.11,2.82,70.18,0,1.41,3.38,1.13,1633.31,448.98,2.54,7.89,0,61.16,0.56,0,48.2,3.95,1.41,1.97,0,0,0
21Day,7.77,0.74,1.48,17.76,1.11,11.1,1.85,0,1.11,0,0,1.48,0,2.59,1.85,2.22,5.92,1.11,31.82,0,0,7.4,0,373.69,97.31,1.85,3.7,0,11.84,11.47,0.37,12.21,1.85,3.33,0.74,0,0,1.48
3Month,0,0.52,0,4.16,0.83,0,0.1,0.21,1.04,0,0,3.12,0.94,0.1,1.14,1.46,1.46,0.52,7.49,1.77,0,0.42,0,7.18,2.39,1.77,3.85,0,0.42,0.31,11.75,0.62,0.1,0,0.1,1.14,0.73,0.62
22Month,0,0.27,0.14,1.91,0.55,0,0,0,0.82,1.37,0,10.66,0.82,0.27,1.64,0.41,0.27,0.82,3.28,0.55,0.41,0.96,0,4.37,1.64,1.78,3.14,0.14,0.82,0.14,12.85,0.55,0,0,0.27,0.14,0,0.27
