stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,22,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,1,479,0,4,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,3.95,0.56,0.56,0,0,0,0,0.28,0,0.56,5.07,0,19.17,0,0,0.28,0,8.74,34.39,0,68.77,0,0,10.15,1.13,0,0,0
21Day,1.48,0,0,4.81,0,1.48,0,0,0,0,0.74,0.37,0.37,0,0,7.03,0,0,0.37,0,2.22,12.21,0,14.43,0.37,0,3.7,0.37,0,0,0
3Month,0,0.31,0.1,8.01,0,0,0.21,0.31,1.35,0.52,0,1.04,0.31,0.21,0.21,2.81,0.21,0,0.42,0.21,0.1,0.73,0.1,0.21,0,0.52,0.42,0,0.62,0.21,0.31
22Month,0,0.14,0.14,2.46,0,0,0.14,0.27,3.28,0.27,0.27,0.14,0,0.41,0.41,0,0,0.27,0.27,0,0,0.14,0,0.14,0,0.41,1.78,0,0,0,0
