stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,2.54,0,0,1.69,0.28,9.3,0,0,0,1.13,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0,8.88,0,0,0.74,0.74,7.4,0.74,0,0.37,0,0,0,0
3Month,0.1,0.42,0,0.1,0.1,1.04,0.1,0,0,0.31,0,1.87,0,0,0,0,0,0,0.21,0,0.1,0.1,0.1,0.1
22Month,0.14,0,0,0,0.14,0.41,0.14,0.14,0,0,0.14,3.69,0.14,0.41,0,0,0,0,0,0,0,0,0,0
