stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,1,0,0,0,0,0,0,1,0,0,0,0,7,3,1,0,0,0,0,2,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0,3.38,0.28,0.56,0.28,0,0,0.85,1.13,0
21Day,0.37,0.37,1.11,0,0.37,0.37,0,0,0,0,0.37,0.37,0.74,1.48,1.11,0,0.37,0,0.37,0.37,0.37
3Month,0,0,0,0,0,0,0.52,0,0.1,0.31,0,0.1,0,0.52,0.1,0,0,0.1,0,0,0.1
22Month,0,0,0,0,0,0,1.23,0,0.41,0,0,0,0,1.09,0,0,0,0,0,0,0
