stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,3.7,0,0,0,1.85,0,0,1.11,0.37,1.11,0,0,0,0,1.11,0,0,0,0.37,0,0,0,0,0,0,0,0.37
3Month,0.21,0.1,0.1,5.93,0.1,0.31,1.35,67.4,0,8.32,1.04,0.21,4.26,0.21,36.41,1.98,1.04,0.21,0,0.52,0.21,0.31,0.1,0.1,0.21,0.1,1.04,3.33,0.1,0,0.1,0.31,0.94,1.14
22Month,0,0.14,0,0.68,0.14,0.82,0.14,110,0.27,4.51,0.55,0,0.55,0,0,0.96,0.55,0,0.27,0.14,0,0,0,0.14,0,0.27,0,0.68,0,0.14,0,0,0,0.14
