stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.85,0.28,0,0,0.56,0,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1.11,0,5.18,0.37,0,0,0
3Month,0.1,0,0.42,0,0,0.21,0.31,0,1.14,0.21,0.21,0.94,0.21,0.42,0.31,0.42,0,0.1,0,0,0.21,0,0,0.62,58.46,0,0.21,1.25,0.1
22Month,0,0,0.14,0,0.14,0,0,0.14,1.23,0,0,0.27,0,0,0.14,0.27,0.14,0,0.27,0,0,0.82,0,0.14,15.17,0,0,0,0
