stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,2,47,0,0,3,0,0,0
72hpf,1.13,0,0.28,0.28,0,0,0.28,0,0,0,0.28,0,0,0,0.85,0.85,0,1.41,0,11.84,9.3,0,0.28,1.41,0.56,0.85,0
21Day,0.37,0,2.59,0,0.74,0,0.74,0,0,0,0,0,0.37,0,0.74,0,0,2.96,0,2.22,3.7,0,0.37,0.74,1.11,1.48,0.37
3Month,0,0.1,0.21,0,0,0,0,0,0.1,0,0.21,0.1,0,0.21,0,0.1,0.31,0.21,0,0.1,0,0.21,0,0,0,0,0
22Month,0,0.27,0.27,0,0,0.14,0.14,0.14,0.14,0.14,0.68,0,0.27,0.14,0,0,0,0.41,0.27,0,0,0.14,0,0,0.14,0,0
