stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,2.59,0,0.74,0,0,0,0,0.74,0,0.37,0.37,7.03,0,0,1.11,3.7,0.74,0.74,0,1.85,0.37,0,0,0.37,0,0,0,0,0,0,11.84
3Month,0.1,0.21,0.21,6.35,0,0,0.73,0,0.1,0.52,5.62,0,3.64,15.71,5.51,1.46,0.31,0.73,6.03,1.25,0.31,0.1,0.21,0,0.42,0.21,0,0.31,0.1,4.26,0,0.31,0.52,60.02
22Month,0.14,0.68,0.27,1.91,0.14,0,0.68,0.14,0,0.27,6.7,0.41,7.93,28.15,7.24,0.68,0.27,0.14,12.85,1.09,0.55,0,0,0,0.27,0.14,0,0.14,0,2.73,0,0.14,0,25.42
