stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,1.13,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,56.37,1.97,0,1.13,0,0,0.56,0,0
21Day,0,2.59,0,0.74,0.37,0,0,0,0,0,0.37,0.37,0.37,0.37,0,3.7,0,0,30.34,1.85,0.37,0.74,0.74,0,0,0,0
3Month,0,0.73,0,0,0,0.1,0.21,0,1.56,0.42,0,0.52,0.1,0.1,0.1,0.62,0.1,0.1,0.31,0,0.21,0,0,3.64,0,0.42,0.1
22Month,0.14,0.14,0,0,0,0,0,0.27,3.28,0.27,0.14,0.41,0,0.14,0,0.55,0,0,0.27,0,0.14,0,0.14,0.27,0.27,0,0.14
