stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Primordial_germ_cell
72hpf,1.97,0.28,0.28,0,0,0,0,0
21Day,2.59,0,0,0,0,0,0,0
3Month,0,0,0.1,0.1,0,0,0,0.1
22Month,0.14,0,0,1.37,0.14,0.14,0.14,0
