stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.31,0.83,0.1,0.42,2.08,0.31,0.42,0.21,0.21,0.1,0.42,0.1,0.1,0.1,0.1,1.35,0.1,0.1,76.45,0.1
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
