stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,1,0,1,0
21Day,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,0.1,0,0,0.1,0,0.1,0,0.1
22Month,0.14,0,0.27,0,0.27,0,0,0,0,0
