stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0.37,0,0.37,0,0,0,0,0,0,0.37,45.51,0,0,1.85,0,2.59,1.85,0,0.37,9.99,2.96,0,0.37,0,0.37,0.74,0,0,0.37
3Month,0,1.35,0.31,2.39,0.31,0,0.73,1.56,3.85,0.94,0.1,3.95,0.1,0.52,0.73,30.37,0.94,0,19.76,0.21,0.31,0.1,0.1,0,0.1,0.31,5.72,0,0,0,0.21,0.31,0.21,0.62
22Month,0,0.14,0.14,0.41,0.14,0,0,0.82,5.47,0.27,0,1.37,0,0,0.41,4.51,0,0.14,4.92,0.14,0.27,0,0,0,0.14,0,3.55,0,0.14,0,0,0,0,0.14
