stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,13.81,9.02,0,0,0.56,0,0,0,0,0
21Day,0.74,0.37,0,1.11,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,1.11,0,2.59,3.7,0,0,0.74,0,0,0,0,0.37
3Month,0,0.31,0.1,2.6,0.1,0.1,0,1.56,0.42,0,4.16,0.31,0.1,4.16,0.1,0.42,0.42,1.04,0.31,0,0.21,0.31,0.31,0,0.31,0.21,0.1,0.1,0.52
22Month,0.14,0.68,0.27,0.68,0,0,0.14,0.41,0.55,0.14,11.62,0,0.68,3.42,0.14,0,0.55,0.55,0,0,0.14,0.41,0.14,0,0,0.27,0,0,0.96
