stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,21,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.85,0,0,0,0,0,0.28,0,0.56,1.97,0,1.41,0,0.28,0.28,6.2,8.74,0,0.56,0,0,0.28,0,0,0,0
21Day,0.74,0.37,3.7,0,1.48,0,1.85,0,0,0,1.85,0,0,0.37,0.37,4.44,0,0,0,3.7,2.59,0,1.48,0.74,0.37,0,0.37,0,0,0
3Month,0,0,1.04,0,0,0.1,0,0.31,1.77,0.31,0.1,0.83,0,0.42,0.52,0.42,0.1,0,0.1,0,0,0.1,0.1,0.1,1.14,0,0,0.21,5.82,0.52
22Month,0,0,0,0,0,0,0,0.14,0.41,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
