stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,2.25,0.28,0,0,0,0,0.28,0,0,0,0,0
21Day,0,3.7,0,0,0,0,0,0,0,0,0,0,1.11,3.33,0,1.11,0,0,0,1.11,0.37,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0.42,21.95,0.1,0.31,0.1,7.07,0.1,0,1.98,0.42,0,10.82,1.46,2.6,0.73,0.21,0,0.94,0.1,0.62,0,0.83,0,0,0,1.35,0,0,0.21,0.62,0.1
22Month,1.23,13.25,0,0.14,0,5.74,0.82,0.41,6.01,0.27,0.27,21.04,0.82,1.91,0.55,0.68,0.68,0.68,0,0.41,0,0.82,0.14,0.14,0.14,1.5,0.14,0.14,0,0,0.14
