stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0.28,1.41,0,0.85,0,0,0,0,15.5,2.54,0,0,0,0.56,0,0,0.56,0,0.28,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,7.4,0.74,0,0,0,0.37,0,1.11,0.37,0.37,0,0,0
3Month,0.1,0.1,1.66,0,0.1,0.21,1.25,0.42,0.42,0,0.94,0.42,1.66,0.21,0,1.46,0.1,1.77,0.21,0.21,0,0,0.1,0.21,15.6,0.42,0,0.21,6.55,0.21
22Month,0,0,0.68,0.14,0,0.14,2.73,0,0.55,0.14,0,0.14,1.23,0.14,0.14,0.41,0.14,0.41,0,0,0.14,0.41,0,0,9.16,0.41,0.14,0,0,0
